volume,open,close,high,low,dt,log_return,asset_return
101905.0,161.53,162.94,163.41,161.53,2022-01-26 09:00:00,0.0,1.0
59229.0,163.0,162.86,163.29,162.59,2022-01-26 10:00:00,-0.0004910988435105068,0.9995090217257887
58920.0,162.89,163.46,163.51,162.83,2022-01-26 11:00:00,0.0036773760489978713,1.0036841458921772
325099.0,163.29,163.34,163.43,162.45,2022-01-26 12:00:00,-0.0007343941578534796,0.9992658754435335
1001942.0,162.8999,163.3,163.98,159.381,2022-01-26 13:00:00,-0.00024491795371073266,0.9997551120362435
12330493.0,163.3,162.1501,163.9,161.59,2022-01-26 14:00:00,-0.007066550510362646,0.9929583588487446
13759762.0,162.14,162.19,162.95,161.36,2022-01-26 15:00:00,0.00024603803354139586,1.0002460683033805
8422705.0,162.2,162.8371,163.13,161.77,2022-01-26 16:00:00,0.003981827084436063,1.0039897650903262
7788504.0,162.8454,163.2434,163.5499,162.72,2022-01-26 17:00:00,0.0024920239650416676,1.002495131637692
7807839.0,163.25,162.78,163.555,162.57,2022-01-26 18:00:00,-0.0028427426501806963,0.997161294116638
21006111.0,162.78,160.5201,164.3894,159.08,2022-01-26 19:00:00,-0.013980427525043027,0.9861168448212312
22934165.0,160.54,159.75,160.54,157.82,2022-01-26 20:00:00,-0.004809075116208206,0.9952024699710502
5117222.0,159.75,160.27,160.42,159.0,2022-01-26 21:00:00,0.003249799747840676,1.0032550860719875
174705.0,160.25,161.0,161.47,160.1,2022-01-26 22:00:00,0.00454447197897867,1.0045548137517937
218630.0,161.03,161.66,161.89,160.77,2022-01-26 23:00:00,0.004090999321235245,1.0040993788819876
163647.0,161.64,160.4999,161.67,160.35,2022-01-27 00:00:00,-0.007202044788781059,0.9928238277867129
83654.0,160.33,160.92,160.92,159.28,2022-01-27 09:00:00,0.002614027564669996,1.0026174471136742
53830.0,160.8,159.53,161.3,159.33,2022-01-27 10:00:00,-0.00867535476868131,0.9913621675366643
61137.0,159.65,161.0,161.1,159.52,2022-01-27 11:00:00,0.009172372671557127,1.0092145677928916
256210.0,161.0,161.56,161.7,160.51,2022-01-27 12:00:00,0.0034722257107491217,1.0034782608695652
889133.0,160.9999,162.03,162.06,159.321,2022-01-27 13:00:00,0.002904912577696983,1.0029091359247337
13139557.0,162.02,163.07,163.84,161.7,2022-01-27 14:00:00,0.006398053200276976,1.006418564463371
14601865.0,163.08,162.97,163.81,161.68,2022-01-27 15:00:00,-0.0006134216852888841,0.9993867664193291
11320265.0,162.96,162.67,163.39,162.18,2022-01-27 16:00:00,-0.0018425260095353835,0.99815917039946
13422355.0,162.689,160.905,162.705,160.08,2022-01-27 17:00:00,-0.010909480060859345,0.9891498125038423
13280862.0,160.9,159.7899,161.14,158.59,2022-01-27 18:00:00,-0.006954301387791517,0.9930698238090798
12505961.0,159.77,159.37,160.65,158.77,2022-01-27 19:00:00,-0.0026312844581690698,0.9973721743364257
21163564.0,159.375,159.2,159.97,158.28,2022-01-27 20:00:00,-0.0010672694612594569,0.9989332998682311
9961557.0,159.22,165.17,166.0,157.5,2022-01-27 21:00:00,0.03681397312271617,1.0375
4833442.0,165.65,167.29,168.0,159.22,2022-01-27 22:00:00,0.012753586810190676,1.0128352606405522
1392120.0,167.2001,166.7,168.38,166.41,2022-01-27 23:00:00,-0.0035330435864411314,0.9964731902683962
662671.0,166.7,167.25,167.3,165.75,2022-01-28 00:00:00,0.0032939092515897883,1.0032993401319736
243651.0,167.8,165.91,167.8,165.75,2022-01-28 09:00:00,-0.008044226353074002,0.9919880418535126
203915.0,165.99,165.67,166.0,165.02,2022-01-28 10:00:00,-0.0014476147048183563,0.998553432583931
240050.0,165.68,165.4,165.76,164.29,2022-01-28 11:00:00,-0.00163107536085505,0.9983702541196355
1257325.0,165.5,163.39,165.94,162.8,2022-01-28 12:00:00,-0.01222680154685829,0.9878476420798065
3549405.0,165.4501,164.0,165.79,161.86,2022-01-28 13:00:00,0.003726446781466386,1.0037333986168064
31572961.0,163.99,164.4501,166.865,162.8,2022-01-28 14:00:00,0.0027407528982470453,1.002744512195122
27279468.0,164.48,166.84,166.85,164.01,2022-01-28 15:00:00,0.01442808860629885,1.0145326758694584
24196680.0,166.84,168.77,168.77,166.62,2022-01-28 16:00:00,0.011501571919648512,1.0115679693119157
16038674.0,168.77,168.12,169.14,167.71,2022-01-28 17:00:00,-0.0038588311114775564,0.996148604609824
12018613.0,168.11,168.45,168.86,167.73,2022-01-28 18:00:00,0.0019609597156460268,1.0019628836545325
15202032.0,168.44,167.835,168.76,166.52,2022-01-28 19:00:00,-0.0036576159247676543,0.9963490650044525
31522152.0,167.83,170.3499,170.35,167.73,2022-01-28 20:00:00,0.01487320315229912,1.014984359638931
3873931.0,170.33,170.02,170.33,169.95,2022-01-28 21:00:00,-0.0019384798908799183,0.9980633977478122
3751761.0,170.03,170.35,170.55,169.99,2022-01-28 22:00:00,0.0019390669177621334,1.00194094812375
96580.0,170.35,170.48,170.53,170.34,2022-01-28 23:00:00,0.000762843683386194,1.0007631347226298
159754.0,170.47,170.7,170.82,170.33,2022-01-29 00:00:00,0.0012896420100334538,1.0012904739558892
95595.0,170.7,171.55,172.01,170.7,2022-01-31 09:00:00,0.004967139504064022,1.00497949619215
216928.0,171.5,170.33,171.57,170.08,2022-01-31 10:00:00,-0.007137037431973248,0.9928883707373943
80428.0,170.49,170.61,170.82,170.21,2022-01-31 11:00:00,0.0016425181143322476,1.0016438677860624
397512.0,170.69,170.3,170.85,169.63,2022-01-31 12:00:00,-0.0018186623181755124,0.9981829904460465
2226716.0,170.55,170.57,170.86,169.63,2022-01-31 13:00:00,0.0015841819841391214,1.0015854374633
17979359.0,170.57,172.52,172.9,169.51,2022-01-31 14:00:00,0.011367402126860604,1.0114322565515625
18673820.0,172.53,173.08,173.62,172.27,2022-01-31 15:00:00,0.003240743577041627,1.0032460004637143
11053758.0,173.07,173.295,173.58,172.38,2022-01-31 16:00:00,0.0012414292464075771,1.001242200138664
8763276.0,173.3,172.9708,173.335,172.35,2022-01-31 17:00:00,-0.0018725504784615765,0.998129201650365
7970433.0,172.98,173.28,173.545,172.7,2022-01-31 18:00:00,0.0017859891280505025,1.001787584956536
8488229.0,173.28,173.4801,173.74,173.155,2022-01-31 19:00:00,0.0011541121496430051,1.0011547783933517
21967221.0,173.49,174.8,175.0,172.77,2022-01-31 20:00:00,0.00757956781911151,1.0076083654551733
4305491.0,174.78,174.35,174.96,174.2,2022-01-31 21:00:00,-0.0025776900997742658,0.9974256292906177
109389.0,174.35,174.17,174.4,174.05,2022-01-31 22:00:00,-0.0010329393779668905,0.9989675939202752
66276.0,174.19,174.48,174.49,174.19,2022-01-31 23:00:00,0.0017782881496799519,1.0017798702417178
75556.0,174.48,174.4,174.5,174.2,2022-02-01 00:00:00,-0.00045861041849448725,0.9995414947271895
71681.0,174.5,174.5,175.38,174.02,2022-02-01 09:00:00,0.0005732301676024676,1.0005733944954127
35233.0,174.17,174.25,174.69,174.1,2022-02-01 10:00:00,-0.0014336920018482857,0.998567335243553
36456.0,174.37,174.26,174.48,174.02,2022-02-01 11:00:00,5.7387162507360756e-05,1.0000573888091822
271221.0,174.22,175.05,175.23,174.2,2022-02-01 12:00:00,0.004523210597533911,1.0045334557557675
1888802.0,174.4999,174.94,175.31,174.34,2022-02-01 13:00:00,-0.0006285894089659294,0.9993716081119679
13817692.0,174.94,173.3088,174.97,172.31,2022-02-01 14:00:00,-0.009368083563397356,0.9906756602263633
12422881.0,173.28,173.74,173.75,172.35,2022-02-01 15:00:00,0.002484954403462858,1.0024880444616777
9573280.0,173.73,174.21,174.435,173.5,2022-02-01 16:00:00,0.002701539220294258,1.0027051916657073
7023385.0,174.205,173.39,174.2599,172.98,2022-02-01 17:00:00,-0.004718075495486751,0.9952930371390849
5590639.0,173.38,173.073,173.38,172.58,2022-02-01 18:00:00,-0.0018299217432122816,0.9981717515427649
